,Bäckerei,URL,Gemeinde,Kanton
229,Bäckerei-Konditorei Sterchi AG,https://be.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-109.816.072&lang=de,Bern,BE - Bern
230,Bäckerei-Konditorei Stocker AG,https://lu.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-108.094.442&lang=de,Sursee,LU - Luzern
231,Bäckerei-Konditorei Studler AG,https://ag.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-107.109.839&lang=de,Seengen,AG - Aargau
232,Bäckerei-Konditorei Stutz GmbH,https://ag.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-109.802.466&lang=de,Unterlunkhofen,AG - Aargau
233,Bäckerei-Konditorei Thomas Gautschi,https://be.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-113.030.672&lang=de,Stettlen,BE - Bern
234,Bäckerei-Konditorei Tschumi AG,https://lu.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-109.484.142&lang=de,Weggis,LU - Luzern
235,Bäckerei-Konditorei U. Schnidrig,https://be.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-107.201.014&lang=de,Kandergrund,BE - Bern
236,Bäckerei-Konditorei Vetterli,https://zh.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-285.280.174&lang=de,Horgen,ZH - Zürich
237,Bäckerei-Konditorei Vincenz AG,https://be.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-402.020.872&lang=de,Lauterbrunnen,BE - Bern
238,Bäckerei-Konditorei von Burg AG,https://zh.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-396.408.680&lang=de,Küsnacht (ZH),ZH - Zürich
239,Bäckerei-Konditorei Waber AG,https://ag.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-114.926.039&lang=de,Brittnau,AG - Aargau
240,Bäckerei Bohnenblust AG,https://be.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-472.136.586&lang=de,Bern,BE - Bern
241,Bäckerei Bosshart,https://zh.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-107.161.923&lang=de,Brütten,ZH - Zürich
242,Bäckerei Brotbrösmeli GmbH,https://adm.appls.fr.ch/hrcmatic/hrcintapp/externalCompanyReport.action?companyOfrcId13=CH-217-3544112-4&ofrcLanguage=4,Ueberstorf,FR - Fribourg
243,Bäckerei Bruhin,https://sz.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-105.739.461&lang=de,Schübelbach,SZ - Schwyz
244,Bäckerei Brunner AG,https://lu.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-427.231.072&lang=de,Dierikon,LU - Luzern
245,Bäckerei Bumann,https://bs.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-107.737.622&lang=de,Basel,BS - Basel-Stadt
246,Bäckerei Bürgi,https://ag.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-107.974.783&lang=de,Lengnau (AG),AG - Aargau
247,Bäckerei Café Brioche AG,https://lu.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-113.716.054&lang=de,Eschenbach (LU),LU - Luzern
248,Bäckerei Café Herger Max GmbH,https://ur.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-109.538.921&lang=de,Schattdorf,UR - Uri
249,Bäckerei Caffè Latte Teneqëja,https://zh.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-413.304.753&lang=de,Zürich,ZH - Zürich
250,Bäckerei-Konditorei Waeber GmbH,https://adm.appls.fr.ch/hrcmatic/hrcintapp/externalCompanyReport.action?companyOfrcId13=CH-217-3535242-1&ofrcLanguage=4,Fribourg,FR - Fribourg
251,Bäckerei-Konditorei Wegmüller,https://be.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-110.572.735&lang=de,Oberdiessbach,BE - Bern
252,Bäckerei-Konditorei Widmer,https://be.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-114.265.166&lang=de,Krattigen,BE - Bern
253,Bäckerei-Konditorei Widmer AG,https://zh.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-105.747.733&lang=de,Langnau am Albis,ZH - Zürich
254,Bäckerei-Konditorei Wirth,https://ag.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-268.364.717&lang=de,Niederwil (AG),AG - Aargau
255,"Bäckerei-Konditorei zum Brotegge, M. Godderidge",https://be.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-109.966.346&lang=de,Lenk,BE - Bern
256,"Bäckerei-Konditorei, Tea-Room Spatz, Amstutz",https://be.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-108.555.489&lang=de,Steffisburg,BE - Bern
257,"Bäckerei-Konditorei, Theodor Rathgeb",https://zh.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-112.646.103&lang=de,Bauma,ZH - Zürich
258,Bäckerei-Konditorei-Café Botti GmbH,https://tg.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-141.952.134&lang=de,Sirnach,TG - Thurgau
259,"Bäckerei-Konditorei-Café Brötie, Nachfolger Ulrich Käser",https://be.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-109.455.086&lang=de,Thun,BE - Bern
260,Bäckerei-Konditorei-Café Moos Fabienne GmbH,https://lu.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-209.788.536&lang=de,Luzern,LU - Luzern
261,Bäckerei-Konditorei-Café Mor GmbH,https://ag.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-110.641.098&lang=de,Villnachern,AG - Aargau
262,Bäckerei-Konditorei-Café P. Signer,https://gr.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-108.076.272&lang=de,Zizers,GR - Graubünden
263,Bäckerei-Konditorei-Café Ringgenberg GmbH,https://be.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-165.612.999&lang=de,Grindelwald,BE - Bern
264,Bäckerei-Konditorei-Café Schulz & Co.,https://ag.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-357.846.160&lang=de,Reinach (AG),AG - Aargau
265,Bäckerei-Konditorei-Café Weber AG,https://gr.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-231.254.678&lang=de,Davos,GR - Graubünden
266,Bäckerei-Konditorei-Confiserie Erni,https://lu.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-114.518.114&lang=de,Ruswil,LU - Luzern
267,Bäckerei-Konditorei-Confiserie Gfeller AG,https://ag.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-479.879.777&lang=de,Klingnau,AG - Aargau
268,Bäckerei-Konditorei-Confiserie Krebs,https://bs.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-107.732.458&lang=de,Basel,BS - Basel-Stadt
269,"Bäckerei-Konditorei-Confiserie Schläpfer, Inhaber Emil Knöpfel",https://ar.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-114.582.253&lang=de,Herisau,AR - Appenzell A. Rh.
270,Bäckerei-Konditorei-Confiserie von Rotz GmbH,https://zg.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-100.362.082&lang=de,Cham,ZG - Zug
271,Bäckerei-Konditorei-Confiserie von Rotz GmbH,https://zg.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-257.993.292&lang=de,Steinhausen,ZG - Zug
272,Bäckerei-Konditorei-Confiserie-Café Haueter,https://be.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-157.338.603&lang=de,Adelboden,BE - Bern
273,Bäckerei-Konditorei-Confiserie-Tea Room M. + A. Leiser,https://ag.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-356.575.515&lang=de,Suhr,AG - Aargau
274,Bäckerei-Konditorei-Lebensmittel Hugo Gutjahr,https://be.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-105.888.724&lang=de,Seedorf (BE),BE - Bern
275,Bäckerei-Konditorei-Restaurant Brändle z. Rössli,https://sg.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-105.806.583&lang=de,Mosnang,SG - St. Gallen
276,"Bäckerei-Lebensmittel, M. Fausch",https://gr.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-107.777.260&lang=de,Seewis im Prättigau,GR - Graubünden
277,Bäckerei-Restaurant 'Chutze' AG,https://be.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-105.862.630&lang=de,Bremgarten bei Bern,BE - Bern
278,Bäckerei-Restaurant Füger GmbH,https://sg.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-105.804.561&lang=de,Mörschwil,SG - St. Gallen
279,Bäckerei-Tea-Room Arnold,https://vo.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-393.342.760&lang=de,Simplon,VS - Brig (Oberwallis)
280,"Bäckerei/Konditorei Muri's Produkte, Williner Moritz",https://vo.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-143.726.755&lang=de,Grächen,VS - Brig (Oberwallis)
281,Bäckereiservice Hunkeler,https://ag.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-110.602.224&lang=de,Niederwil (AG),AG - Aargau
282,"Bäckerei/Konditorei Muri's Produkte, Williner Moritz",https://vo.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-143.726.755&lang=de,Grächen,VS - Brig (Oberwallis)
283,Bäckereiservice Hunkeler,https://ag.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-110.602.224&lang=de,Niederwil (AG),AG - Aargau
284,Bäckerei Christen AG,https://lu.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-102.764.971&lang=de,Sempach,LU - Luzern
285,Bäckerei Conditorei Confiserie Pfyl AG,https://zh.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-279.810.193&lang=de,Hedingen,ZH - Zürich
286,"BÄCKEREI CONFISERIE BACKBORD, LORENZ MOSER, BEATRICE MOSER",https://be.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-110.492.160&lang=de,Ostermundigen,BE - Bern
287,Bäckerei Confiserie Bucher AG,https://lu.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-115.564.068&lang=de,Emmen,LU - Luzern
288,Bäckerei Confiserie Galli AG,https://be.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-114.972.619&lang=de,Steffisburg,BE - Bern
289,Bäckerei Confiserie Grellinger AG,https://bl.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-412.619.094&lang=de,Reinach (BL),BL - Basel-Landschaft
290,Bäckerei Confiserie Grellinger AG,https://bs.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-403.888.011&lang=de,Basel,BS - Basel-Stadt
291,Bäckerei Dili GmbH,https://so.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-114.078.894&lang=de,Olten,SO - Solothurn
292,Bäckerei Dimen GmbH,https://ag.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-259.888.200&lang=de,Killwangen,AG - Aargau
293,Bäckerei Dörig GmbH Diepoldsau,https://sg.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-105.900.182&lang=de,Diepoldsau,SG - St. Gallen
294,Bäckerei DUO GmbH,https://so.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-418.409.916&lang=de,Zuchwil,SO - Solothurn
295,Bäckerei Eigenmann AG Lütisburg,https://sg.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-107.140.915&lang=de,Lütisburg,SG - St. Gallen
296,Bäckerei Erni GmbH,https://so.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-254.289.529&lang=de,Wolfwil,SO - Solothurn
297,Bäckerei FIRAT GmbH,https://bs.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-105.232.682&lang=de,Basel,BS - Basel-Stadt
298,Bäckerei Fischer GmbH,https://be.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-114.111.994&lang=de,Ersigen,BE - Bern
299,Bäckerei Fleischli-Stiftung,https://zh.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-110.441.010&lang=de,Niederglatt,ZH - Zürich
300,Bäckerei Fontana AG,https://adm.appls.fr.ch/hrcmatic/hrcintapp/externalCompanyReport.action?companyOfrcId13=CH-217-0630252-1&ofrcLanguage=4,Plaffeien,FR - Fribourg
301,Bäckerei Frick AG,https://sg.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-145.166.459&lang=de,Buchs (SG),SG - St. Gallen
302,Bäckerei Gaugler AG,https://bl.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-199.871.665&lang=de,Augst,BL - Basel-Landschaft
303,Bäckerei Gerber GmbH,https://bs.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-109.574.839&lang=de,Riehen,BS - Basel-Stadt
304,Bäckerei Göbel,https://be.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-262.284.540&lang=de,Thun,BE - Bern
305,Bäckerei Gold AG,https://zh.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-109.056.579&lang=de,Zürich,ZH - Zürich
306,Bäckerei Graber GmbH,https://so.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-422.600.038&lang=de,Riedholz,SO - Solothurn
307,Bäckerei Gradwohl GmbH,https://ag.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-435.619.780&lang=de,Staufen,AG - Aargau
308,Bäckerei Grob AG,https://be.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-107.175.428&lang=de,Biel/Bienne,BE - Bern
309,Bäckerei Gutknecht AG,https://adm.appls.fr.ch/hrcmatic/hrcintapp/externalCompanyReport.action?companyOfrcId13=CH-217-0530153-5&ofrcLanguage=4,Ulmiz,FR - Fribourg
310,Bäckerei Gwerder & Ziegler AG,https://gr.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-486.652.262&lang=de,Landquart,GR - Graubünden
311,Bäckerei Gwerder AG,https://gr.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-278.858.754&lang=de,Chur,GR - Graubünden
312,Bäckerei Häfeli AG Hallau,https://sh.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-106.927.605&lang=de,Hallau,SH - Schaffhausen
313,Bäckerei Happy AG,https://zh.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-113.084.811&lang=de,Zürich,ZH - Zürich
314,Bäckerei Hauser GmbH,https://adm.appls.fr.ch/hrcmatic/hrcintapp/externalCompanyReport.action?companyOfrcId13=CH-217-3558418-5&ofrcLanguage=4,Muntelier,FR - Fribourg
315,Bäckerei Haydar Aydin,https://zh.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-316.685.066&lang=de,Wetzikon (ZH),ZH - Zürich
316,Bäckerei Herger GmbH,https://ur.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-105.458.565&lang=de,Attinghausen,UR - Uri
317,Bäckerei Hotz Rust AG,https://zg.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-107.377.245&lang=de,Baar,ZG - Zug
318,Bäckerei im Zentrum Villmergen AG,https://ag.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-309.283.840&lang=de,Villmergen,AG - Aargau
319,Bäckerei Imboden AG,https://vo.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-101.901.892&lang=de,Brig-Glis,VS - Brig (Oberwallis)
320,Bäckerei Imholz AG,https://zh.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-200.646.901&lang=de,Zürich,ZH - Zürich
321,Bäckerei Jassbach GmbH,https://be.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-113.326.285&lang=de,Linden,BE - Bern
322,Bäckerei Jetzer GmbH,https://bs.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-112.381.608&lang=de,Basel,BS - Basel-Stadt
323,Bäckerei Josef Schwarz Visp AG,https://vo.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-112.450.563&lang=de,Visp,VS - Brig (Oberwallis)
324,Bäckerei Kaffee Spontan GmbH,https://be.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-234.076.108&lang=de,Mühleberg,BE - Bern
325,Bäckerei Kafi Berlinge Nüesch,https://tg.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-229.442.348&lang=de,Berlingen,TG - Thurgau
326,Bäckerei Kast AG,https://ar.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-106.848.555&lang=de,Reute (AR),AR - Appenzell A. Rh.
327,Bäckerei Knobel GmbH,https://sz.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-108.640.735&lang=de,Tuggen,SZ - Schwyz
328,Bäckerei Koller GmbH,https://ar.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-107.068.399&lang=de,Teufen (AR),AR - Appenzell A. Rh.
329,Bäckerei Konditorei Adula GmbH,https://gr.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-145.311.649&lang=de,Tujetsch,GR - Graubünden
330,Bäckerei Konditorei Albert Fähndrich,https://ag.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-107.469.657&lang=de,Sins,AG - Aargau
331,Bäckerei Konditorei Bachmann GmbH,https://sg.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-391.154.650&lang=de,Rheineck,SG - St. Gallen
332,Bäckerei Konditorei Bruderer AG,https://be.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-265.591.932&lang=de,Wichtrach,BE - Bern
333,BÄCKEREI KONDITOREI CAFÉ HAUSAMMANN,https://zh.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-109.384.807&lang=de,Zürich,ZH - Zürich
334,Bäckerei Konditorei Café Meier,https://bs.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-193.500.199&lang=de,Basel,BS - Basel-Stadt
335,Bäckerei Konditorei Confiserie Haas,https://ag.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-114.448.583&lang=de,Oberlunkhofen,AG - Aargau
336,Bäckerei Konditorei Confiserie Schillig GmbH,https://ur.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-278.962.802&lang=de,Bürglen (UR),UR - Uri
337,Bäckerei Konditorei Confiserie Wick AG,https://sg.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-110.195.673&lang=de,Rapperswil-Jona,SG - St. Gallen
338,Bäckerei Konditorei Dörig,https://sg.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-107.266.918&lang=de,Oberbüren,SG - St. Gallen
339,"Bäckerei Konditorei Fahrni, Nachfolger Heinz Geissbühler",https://be.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-276.039.461&lang=de,Thun,BE - Bern
340,Bäckerei Konditorei Gabriel AG,https://gr.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-361.794.690&lang=de,Breil/Brigels,GR - Graubünden
341,Bäckerei Konditorei Graber,https://be.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-113.643.314&lang=de,Aeschi bei Spiez,BE - Bern
342,Bäckerei Konditorei Grossenbacher AG,https://be.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-166.810.220&lang=de,Jegenstorf,BE - Bern
343,Bäckerei Konditorei Gut,https://zh.chregister.ch/cr-portal/auszug/zefix.xhtml?uid=CHE-152.889.089&lang=de,Marthalen,ZH - Zürich
